HP,ATK,DEF,HP%,ATK%,DEF%,Elemental Mastery,Energy Recharge,Crit Rate,Crit DMG
100,7,8,2.5,2.5,3.1,9.8,2.7,1.6,3.3
115,8,9,2.8,2.8,3.5,11.2,3.1,1.9,3.7
129,9,10,3.1,3.1,3.9,12.6,3.5,2.1,4.2
143,13,11,3.5,3.5,4.4,14.0,3.9,2.3,4.7
201,14,16,4.9,4.9,6.1,19.6,5.4,3.3,6.5
215,15,17,5.2,5.2,6.6,21.0,5.8,3.5,7.0
229,16,18,5.6,5.6,7.0,22.4,6.2,3.7,7.5
244,17,19,6.0,6.0,7.4,23.8,6.6,4.0,7.9
258,18,20,6.3,6.3,7.9,25.2,7.0,4.2,8.4
272,19,21,6.7,6.7,8.3,26.6,7.4,4.4,8.9
287,20,22,7.0,7.0,8.7,28.0,7.8,4.7,9.3
301,21,23,7.3,7.3,9.2,29.3,8.2,4.9,9.8
315,22,24,7.7,7.7,9.6,30.8,8.6,5.1,10.2
330,23,26,8.1,8.1,10.1,32.1,8.9,5.3,10.7
344,24,27,8.4,8.4,10.5,32.2,9.3,5.4,11.2
358,25,28,8.8,8.8,10.9,33.5,9.7,5.6,11.7
373,26,29,9.1,9.1,11.4,33.6,10.1,5.8,12.1
387,27,30,9.4,9.4,11.8,35.0,10.5,6.0,12.6
402,28,31,9.8,9.8,12.2,36.4,10.9,6.1,13.0
416,29,32,10.2,10.2,12.7,37.8,11.3,6.3,13.1
430,30,33,10.5,10.5,13.1,39.1,11.7,6.5,13.5
445,31,34,10.8,10.8,13.6,39.2,12.1,6.8,14.0
459,32,36,11.2,11.2,14.0,40.5,12.4,7.0,14.4
473,33,37,11.6,11.6,14.4,40.6,12.8,7.2,14.9
488,34,38,11.9,11.9,14.8,41.9,13.2,7.4,15.4
502,35,39,12.2,12.2,14.9,42.0,13.6,7.5,15.8
516,36,40,12.6,12.6,15.3,43.3,14.0,7.7,15.9
531,37,41,12.9,12.9,15.7,43.4,14.4,7.9,16.3
545,0,42,13.3,13.3,16.2,44.7,14.8,8.2,16.8
559,0,43,13.7,13.7,16.6,44.8,15.2,8.4,17.2
574,0,44,14.0,14.0,17.0,46.1,15.6,8.6,17.3
0,0,0,0.0,0.0,17.5,46.2,0.0,8.8,17.7
0,0,0,0.0,0.0,0.0,47.5,0.0,8.9,18.2
0,0,0,0.0,0.0,0.0,47.6,0.0,9.1,18.6
0,0,0,0.0,0.0,0.0,49.0,0.0,9.3,0.0
0,0,0,0.0,0.0,0.0,50.4,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,51.8,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,53.2,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,54.6,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,56.0,0.0,0.0,0.0
