HP,ATK,DEF,HP%,ATK%,DEF%,Elemental Mastery,Energy Recharge,Crit Rate,Crit DMG
167,11,13,3.3,3.3,4.1,13.1,3.6,2.2,4.3
191,12,15,3.7,3.7,4.7,14.9,4.1,2.5,5.0
215,14,17,4.2,4.2,5.2,16.8,4.7,2.8,5.6
239,16,19,4.7,4.7,5.8,18.6,5.2,3.1,6.2
335,22,26,6.5,6.5,8.2,26.1,7.3,4.4,8.7
358,23,28,7.0,7.0,8.7,28.0,7.8,4.7,9.3
382,25,30,7.5,7.5,9.3,29.8,8.3,5.0,9.9
406,26,31,7.9,7.9,9.9,29.9,8.8,5.3,10.6
430,28,33,8.4,8.4,10.5,31.6,9.3,5.6,11.2
454,30,35,8.9,8.9,11.1,31.7,9.8,5.9,11.8
478,31,37,9.3,9.3,11.7,33.5,10.4,6.2,12.4
502,33,39,9.8,9.8,12.2,33.6,10.9,6.5,13.0
526,34,41,10.2,10.2,12.8,35.3,11.4,6.8,13.7
550,36,43,10.7,10.7,13.4,37.1,11.9,7.2,14.3
574,37,44,11.2,11.2,14.0,39.2,12.4,7.5,14.9
598,39,46,11.7,11.7,14.6,41.0,12.9,7.8,15.5
621,40,48,12.1,12.1,15.2,42.9,13.4,8.1,16.2
645,42,50,12.6,12.6,15.7,44.7,13.5,8.4,16.8
669,44,52,13.0,13.0,15.8,44.8,14.0,8.7,17.4
693,45,54,13.1,13.1,16.3,46.5,14.5,9.0,18.0
717,47,56,13.5,13.5,16.9,46.6,15.0,9.3,18.6
741,48,57,14.0,14.0,17.5,48.4,15.5,9.7,18.7
765,50,59,14.4,14.4,18.1,48.5,15.6,10.0,19.2
789,51,61,14.9,14.9,18.6,50.2,16.0,10.3,19.9
813,53,63,15.4,15.4,18.7,50.3,16.1,10.6,20.5
836,54,65,15.8,15.8,19.2,50.4,16.5,10.9,21.1
860,56,67,15.9,15.9,19.8,52.0,16.6,11.2,21.7
884,58,69,16.3,16.3,20.4,52.1,17.1,11.5,21.8
908,59,70,16.8,16.8,21.0,52.2,17.6,11.8,22.3
932,61,72,17.2,17.2,21.6,53.9,18.1,12.1,22.4
956,62,74,17.3,17.3,22.1,54.1,18.6,12.4,23.0
980,64,76,17.7,17.7,22.2,55.6,19.1,12.8,23.6
1004,65,78,18.2,18.2,22.7,56.0,19.2,13.1,24.2
1028,67,80,18.6,18.6,23.3,57.7,19.6,13.4,24.3
1052,68,81,19.1,19.1,23.9,57.8,19.7,13.7,24.8
1076,70,82,19.6,19.6,24.5,59.6,20.1,14.0,24.9
1099,72,83,20.0,20.0,25.1,59.7,20.2,14.3,25.5
1123,73,85,20.1,20.1,25.6,61.5,20.6,14.6,26.1
1147,75,87,20.5,20.5,25.7,61.6,20.7,14.9,26.7
1171,76,89,21.0,21.0,26.2,63.2,21.2,15.2,27.3
1195,78,91,21.4,21.4,26.8,63.3,21.7,15.6,27.4
0,0,93,21.5,21.5,27.4,63.4,21.8,0.0,28.0
0,0,0,21.9,21.9,28.0,65.1,22.2,0.0,28.6
0,0,0,22.4,22.4,28.6,65.2,22.3,0.0,29.2
0,0,0,22.8,22.8,29.1,65.3,22.8,0.0,29.9
0,0,0,23.3,23.3,0.0,66.9,23.3,0.0,30.5
0,0,0,0.0,0.0,0.0,67.0,23.8,0.0,31.1
0,0,0,0.0,0.0,0.0,67.2,24.3,0.0,0.0
0,0,0,0.0,0.0,0.0,68.7,24.4,0.0,0.0
0,0,0,0.0,0.0,0.0,68.8,24.9,0.0,0.0
0,0,0,0.0,0.0,0.0,68.9,25.4,0.0,0.0
0,0,0,0.0,0.0,0.0,69.0,25.9,0.0,0.0
0,0,0,0.0,0.0,0.0,70.6,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,70.7,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,70.8,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,70.9,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,72.4,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,72.7,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,72.8,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,74.2,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,74.5,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,74.6,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,76.3,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,76.4,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,76.5,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,78.1,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,78.2,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,78.3,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,80.1,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,80.2,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,81.8,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,81.9,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,82.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,82.1,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,83.6,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,83.7,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,83.8,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,85.5,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,85.6,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,85.7,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,87.3,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,87.4,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,87.5,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,89.1,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,89.2,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,91.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,92.8,0.0,0.0,0.0
