Name,Lowercase,Grade,Type,Refinement 1,Refinement 2,Refinement 3,Refinement 4,Refinement 5,Base ATK 1,Substat 1,Base ATK 5,Substat 5,Base ATK 10,Substat 10,Base ATK 15,Substat 15,Base ATK 20,Substat 20,Base ATK 20+,Substat 20+,Base ATK 25,Substat 25,Base ATK 30,Substat 30,Base ATK 35,Substat 35,Base ATK 40,Substat 40,Base ATK 40+,Substat 40+,Base ATK 45,Substat 45,Base ATK 50,Substat 50,Base ATK 50+,Substat 50+,Base ATK 55,Substat 55,Base ATK 60,Substat 60,Base ATK 60+,Substat 60+,Base ATK 65,Substat 65,Base ATK 70,Substat 70,Base ATK 70+,Substat 70+,Base ATK 75,Substat 75,Base ATK 80,Substat 80,Base ATK 80+,Substat 80+,Base ATK 85,Substat 85,Base ATK 90,Substat 90,Substat
Dull Blade,dull blade,1,sword,No Passive,No Passive,No Passive,No Passive,No Passive,23,0.0,30,0.0,39,0.0,48,0.0,56,0.0,68,0.0,76,0.0,85,0.0,93,0.0,102,0.0,113,0.0,121,0.0,130,0.0,141,0.0,149,0.0,158,0.0,169,0.0,177,0.0,185,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Silver Sword,silver sword,2,sword,No Passive,No Passive,No Passive,No Passive,No Passive,33,0.0,43,0.0,55,0.0,68,0.0,80,0.0,91,0.0,103,0.0,115,0.0,127,0.0,139,0.0,151,0.0,162,0.0,174,0.0,186,0.0,197,0.0,209,0.0,220,0.0,232,0.0,243,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Cool Steel,cool steel,3,sword,Bane of Water and Ice: Increases DMG against opponents affected by Hydro or Cryo by 12%.,Bane of Water and Ice: Increases DMG against opponents affected by Hydro or Cryo by 15%.,Bane of Water and Ice: Increases DMG against opponents affected by Hydro or Cryo by 18%.,Bane of Water and Ice: Increases DMG against opponents affected by Hydro or Cryo by 21%.,Bane of Water and Ice: Increases DMG against opponents affected by Hydro or Cryo by 24%.,39,7.7,50,8.9,65,10.4,79,12.0,94,13.5,113,13.5,127,15.1,141,16.6,155,18.2,169,19.7,189,19.7,202,21.3,216,22.8,236,22.8,249,24.4,263,25.9,282,25.9,296,27.5,309,29.0,329,29.0,342,30.5,355,32.1,375,32.1,388,33.6,401,35.2,ATK%
Dark Iron Sword,dark iron sword,3,sword,"Overloaded: Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, ATK is increased by 20% for 12s.","Overloaded: Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, ATK is increased by 25% for 12s.","Overloaded: Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, ATK is increased by 30% for 12s.","Overloaded: Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, ATK is increased by 35% for 12s.","Overloaded: Upon causing an Overloaded, Superconduct, Electro-Charged, or an Electro-infused Swirl reaction, ATK is increased by 40% for 12s.",39,31.0,50,36.0,65,42.0,79,48.0,94,54.0,113,54.0,127,60.0,141,66.0,155,73.0,169,79.0,189,79.0,202,85.0,216,91.0,236,91.0,249,97.0,263,104.0,282,104.0,296,110.0,309,116.0,329,116.0,342,122.0,355,128.0,375,128.0,388,134.0,401,141.0,Elemental Mastery
Fillet Blade,fillet blade,3,sword,"Gash: On hit, has a 50% chance to deal 240% ATK DMG to a single opponent. Can only occur once every 15s.","Gash: On hit, has a 50% chance to deal 280% ATK DMG to a single opponent. Can only occur once every 14s.","Gash: On hit, has a 50% chance to deal 320% ATK DMG to a single opponent. Can only occur once every 13s.","Gash: On hit, has a 50% chance to deal 360% ATK DMG to a single opponent. Can only occur once every 12s.","Gash: On hit, has a 50% chance to deal 400% ATK DMG to a single target. Can only occur once every 11s.",39,7.7,50,8.9,65,10.4,79,12.0,94,13.5,113,13.5,127,15.1,141,16.6,155,18.2,169,19.7,189,19.7,202,21.3,216,22.8,236,22.8,249,24.4,263,25.9,282,25.9,296,27.5,309,29.0,329,29.0,342,30.5,355,32.1,375,32.1,388,33.6,401,35.2,ATK%
Harbinger of Dawn,harbinger of dawn,3,sword,"Vigorous: When HP is above 90%, increases CRIT Rate by 14%.","Vigorous: When HP is above 90%, increases CRIT Rate by 17.5%.","Vigorous: When HP is above 90%, increases CRIT Rate by 21%.","Vigorous: When HP is above 90%, increases CRIT Rate by 24.5%.","Vigorous: When HP is above 90%, increases CRIT Rate by 28%.",39,10.2,50,11.9,65,13.9,79,16.0,94,18.0,113,18.0,127,20.1,141,22.1,155,24.2,169,26.3,189,26.3,202,28.3,216,30.4,236,30.4,249,32.4,263,34.5,282,34.5,296,36.6,309,38.6,329,38.6,342,40.7,355,42.7,375,42.7,388,44.8,401,46.9,CRIT DMG
Skyrider Sword,skyrider sword,3,sword,Determination: Using an Elemental Burst grants a 12% increase in ATK and Movement SPD for 15s.,Determination: Using an Elemental Burst grants a 15% increase in ATK and Movement SPD for 15s.,Determination: Using an Elemental Burst grants a 18% increase in ATK and Movement SPD for 15s.,Determination: Using an Elemental Burst grants a 21% increase in ATK and Movement SPD for 15s.,Determination: Using an Elemental Burst grants a 24% increase in ATK and Movement SPD for 15s.,38,11.3,48,13.2,61,15.4,73,17.7,86,20.0,105,20.0,117,22.3,129,24.6,140,26.9,151,29.2,171,29.2,182,31.5,193,33.8,212,33.8,223,36.1,234,38.3,253,38.3,264,40.6,274,42.9,294,42.9,304,45.2,314,47.5,334,47.5,344,49.8,354,52.1,Energy Recharge
Traveler's Handy Sword,traveler's handy sword,3,sword,Journey: Each Elemental Orb or Particle collected restores 1% HP.,Journey: Each Elemental Orb or Particle collected restores 1.25% HP.,Journey: Each Elemental Orb or Particle collected restores 1.5% HP.,Journey: Each Elemental Orb or Particle collected restores 1.75% HP.,Journey: Each Elemental Orb or Particle collected restores 2% HP.,40,6.4,53,7.4,69,8.7,86,10.0,102,11.3,121,11.3,138,12.5,154,13.8,171,15.1,187,16.4,207,16.4,223,17.7,239,19.0,259,19.0,275,20.3,292,21.6,311,21.6,327,22.8,344,24.1,363,24.1,380,25.4,396,26.7,415,26.7,432,28.0,448,29.3,DEF%
Blackcliff Longsword,blackcliff longsword,4,sword,"Press the Advantage: After defeating an opponent, ATK is increased by 12% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an opponent, ATK is increased by 15% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an opponent, ATK is increased by 18% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an opponent, ATK is increased by 21% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an opponent, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.",44,8.0,59,9.3,79,10.9,99,12.5,119,14.1,144,14.1,165,15.8,185,17.4,205,19.0,226,20.6,252,20.6,273,22.2,293,23.8,319,23.8,340,25.4,361,27.1,387,27.1,408,28.7,429,30.3,455,30.3,476,31.9,497,33.5,523,33.5,544,35.1,565,36.8,CRIT DMG
Favonius Sword,favonius sword,4,sword,"Windfall: CRIT Hits have a 60% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12s.","Windfall: CRIT Hits have a 70% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 10.5s.","Windfall: CRIT Hits have a 80% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 9s.","Windfall: CRIT Hits have a 90% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 7.5s.","Windfall: CRIT Hits have a 100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 6s.",41,13.3,54,15.5,69,18.2,84,20.9,99,23.6,125,23.6,140,26.3,155,28.9,169,31.6,184,34.3,210,34.3,224,37.0,238,39.7,264,39.7,278,42.4,293,45.1,319,45.1,333,47.8,347,50.5,373,50.5,387,53.2,401,55.9,427,55.9,440,58.6,454,61.3,Energy Recharge
